
炼金丹配方
主药三尾风叶-1&430 药引血菩提-1&350 辅药天剑笋-1&370 花费1150 炼金收益110 6丹 易筋丹
主药三尾风叶-1&430 药引血菩提-1&350 辅药皇龙花-1&380 花费1160 炼金收益100 6丹 灭神古丸
主药三尾风叶-1&430 药引天剑笋-1&370 辅药天剑笋-1&370 花费1170 炼金收益90 6丹 易筋丹
主药七彩月兰-1&530 药引轻灵草-1&270 辅药天剑笋-1&370 花费1170 炼金收益90 6丹 易筋丹
主药七彩月兰-1&530 药引灯心草-1&270 辅药天剑笋-1&370 花费1170 炼金收益90 6丹 易筋丹
主药银精芝-1&270 药引银精芝-1&270 辅药银精芝-1&270 花费810 炼金收益90 6丹 养气丹
主药尘磊岩麟果-1&1060 药引灯心草-1&270 辅药龙须藤-1&390 花费1720 炼金收益80 6丹 消冰宝丸
主药离火梧桐芝-1&1060 药引灯心草-1&270 辅药龙须藤-1&390 花费1720 炼金收益80 6丹 消冰宝丸
主药离火梧桐芝-1&1060 药引轻灵草-1&270 辅药龙须藤-1&390 花费1720 炼金收益80 6丹 消冰宝丸
主药尘磊岩麟果-1&1060 药引轻灵草-1&270 辅药龙须藤-1&390 花费1720 炼金收益80 6丹 消冰宝丸
主药木灵三针花-1&900 药引轻灵草-1&270 辅药冥胎骨-1&370 花费1540 炼金收益80 6丹 地仙玄丸
主药鎏鑫天晶草-1&900 药引灯心草-1&270 辅药冥胎骨-1&370 花费1540 炼金收益80 6丹 地仙玄丸
主药鎏鑫天晶草-1&900 药引轻灵草-1&270 辅药冥胎骨-1&370 花费1540 炼金收益80 6丹 地仙玄丸
主药木灵三针花-1&900 药引灯心草-1&270 辅药冥胎骨-1&370 花费1540 炼金收益80 6丹 地仙玄丸
主药七彩月兰-1&530 药引天问花-1&280 辅药天剑笋-1&370 花费1180 炼金收益80 6丹 易筋丹
主药七彩月兰-1&530 药引天灵果-1&280 辅药天剑笋-1&370 花费1180 炼金收益80 6丹 易筋丹
主药三尾风叶-1&430 药引天剑笋-1&370 辅药皇龙花-1&380 花费1180 炼金收益80 6丹 灭神古丸
主药三尾风叶-1&430 药引血菩提-1&350 辅药黑天麻-1&400 花费1180 炼金收益80 6丹 灭神古丸
主药七彩月兰-1&530 药引灯心草-1&270 辅药皇龙花-1&380 花费1180 炼金收益80 6丹 灭神古丸
主药七彩月兰-1&530 药引轻灵草-1&270 辅药皇龙花-1&380 花费1180 炼金收益80 6丹 灭神古丸
主药离火梧桐芝-1&1060 药引天问花-1&280 辅药龙须藤-1&390 花费1730 炼金收益70 6丹 消冰宝丸
主药尘磊岩麟果-1&1060 药引天问花-1&280 辅药龙须藤-1&390 花费1730 炼金收益70 6丹 消冰宝丸
主药离火梧桐芝-1&1060 药引天灵果-1&280 辅药龙须藤-1&390 花费1730 炼金收益70 6丹 消冰宝丸
主药离火梧桐芝-1&1060 药引灯心草-1&270 辅药鬼面花-1&400 花费1730 炼金收益70 6丹 消冰宝丸
主药尘磊岩麟果-1&1060 药引轻灵草-1&270 辅药鬼面花-1&400 花费1730 炼金收益70 6丹 消冰宝丸
主药尘磊岩麟果-1&1060 药引天灵果-1&280 辅药龙须藤-1&390 花费1730 炼金收益70 6丹 消冰宝丸
主药离火梧桐芝-1&1060 药引轻灵草-1&270 辅药鬼面花-1&400 花费1730 炼金收益70 6丹 消冰宝丸
主药尘磊岩麟果-1&1060 药引灯心草-1&270 辅药鬼面花-1&400 花费1730 炼金收益70 6丹 消冰宝丸
主药剑魄竹笋-1&950 药引炼心芝-1&390 辅药龙须藤-1&390 花费1730 炼金收益70 6丹 消冰宝丸
主药鎏鑫天晶草-1&900 药引天问花-1&280 辅药冥胎骨-1&370 花费1550 炼金收益70 6丹 地仙玄丸
主药木灵三针花-1&900 药引天灵果-1&280 辅药冥胎骨-1&370 花费1550 炼金收益70 6丹 地仙玄丸
主药木灵三针花-1&900 药引天问花-1&280 辅药冥胎骨-1&370 花费1550 炼金收益70 6丹 地仙玄丸
主药鎏鑫天晶草-1&900 药引天灵果-1&280 辅药冥胎骨-1&370 花费1550 炼金收益70 6丹 地仙玄丸
主药坎水玄冰果-1&810 药引冥胎骨-1&370 辅药冥胎骨-1&370 花费1550 炼金收益70 6丹 地仙玄丸
主药冰灵焰草-1&450 药引诱妖草-1&370 辅药天剑笋-1&370 花费1190 炼金收益70 6丹 易筋丹
主药三叶青芝-1&550 药引轻灵草-1&270 辅药天剑笋-1&370 花费1190 炼金收益70 6丹 易筋丹
主药七彩月兰-1&530 药引血莲精-1&290 辅药天剑笋-1&370 花费1190 炼金收益70 6丹 易筋丹
主药七彩月兰-1&530 药引炼魂珠-1&290 辅药天剑笋-1&370 花费1190 炼金收益70 6丹 易筋丹
主药三叶青芝-1&550 药引灯心草-1&270 辅药天剑笋-1&370 花费1190 炼金收益70 6丹 易筋丹
主药七彩月兰-1&530 药引天问花-1&280 辅药皇龙花-1&380 花费1190 炼金收益70 6丹 灭神古丸
主药三尾风叶-1&430 药引血菩提-1&350 辅药混元果-1&410 花费1190 炼金收益70 6丹 灭神古丸
主药七彩月兰-1&530 药引天灵果-1&280 辅药皇龙花-1&380 花费1190 炼金收益70 6丹 灭神古丸
主药银精芝-1&270 药引银精芝-1&270 辅药玉髓芝-1&290 花费830 炼金收益70 6丹 养气丹
主药血莲精-1&290 药引轻灵草-1&270 辅药银精芝-1&270 花费830 炼金收益70 6丹 养气丹
主药血莲精-1&290 药引灯心草-1&270 辅药银精芝-1&270 花费830 炼金收益70 6丹 养气丹
主药银精芝-1&270 药引银精芝-1&270 辅药血莲精-1&290 花费830 炼金收益70 6丹 养气丹
主药离火梧桐芝-1&1060 药引天灵果-1&280 辅药鬼面花-1&400 花费1740 炼金收益60 6丹 消冰宝丸
主药尘磊岩麟果-1&1060 药引天灵果-1&280 辅药鬼面花-1&400 花费1740 炼金收益60 6丹 消冰宝丸
主药剑魄竹笋-1&950 药引鬼面花-1&400 辅药龙须藤-1&390 花费1740 炼金收益60 6丹 消冰宝丸
主药离火梧桐芝-1&1060 药引炼魂珠-1&290 辅药龙须藤-1&390 花费1740 炼金收益60 6丹 消冰宝丸
主药尘磊岩麟果-1&1060 药引天问花-1&280 辅药鬼面花-1&400 花费1740 炼金收益60 6丹 消冰宝丸
主药尘磊岩麟果-1&1060 药引炼魂珠-1&290 辅药龙须藤-1&390 花费1740 炼金收益60 6丹 消冰宝丸
主药剑魄竹笋-1&950 药引炼心芝-1&390 辅药鬼面花-1&400 花费1740 炼金收益60 6丹 消冰宝丸
主药离火梧桐芝-1&1060 药引血莲精-1&290 辅药龙须藤-1&390 花费1740 炼金收益60 6丹 消冰宝丸
主药尘磊岩麟果-1&1060 药引血莲精-1&290 辅药龙须藤-1&390 花费1740 炼金收益60 6丹 消冰宝丸
主药离火梧桐芝-1&1060 药引天问花-1&280 辅药鬼面花-1&400 花费1740 炼金收益60 6丹 消冰宝丸
主药鎏鑫天晶草-1&900 药引血莲精-1&290 辅药冥胎骨-1&370 花费1560 炼金收益60 6丹 地仙玄丸
主药鎏鑫天晶草-1&900 药引轻灵草-1&270 辅药霸王花-1&390 花费1560 炼金收益60 6丹 地仙玄丸
主药木灵三针花-1&900 药引炼魂珠-1&290 辅药冥胎骨-1&370 花费1560 炼金收益60 6丹 地仙玄丸
主药木灵三针花-1&900 药引血莲精-1&290 辅药冥胎骨-1&370 花费1560 炼金收益60 6丹 地仙玄丸
主药鎏鑫天晶草-1&900 药引灯心草-1&270 辅药霸王花-1&390 花费1560 炼金收益60 6丹 地仙玄丸
主药鎏鑫天晶草-1&900 药引炼魂珠-1&290 辅药冥胎骨-1&370 花费1560 炼金收益60 6丹 地仙玄丸
主药木灵三针花-1&900 药引灯心草-1&270 辅药霸王花-1&390 花费1560 炼金收益60 6丹 地仙玄丸
主药木灵三针花-1&900 药引轻灵草-1&270 辅药霸王花-1&390 花费1560 炼金收益60 6丹 地仙玄丸
主药三叶青芝-1&550 药引天灵果-1&280 辅药天剑笋-1&370 花费1200 炼金收益60 6丹 易筋丹
主药七彩月兰-1&530 药引苦曼藤-1&300 辅药天剑笋-1&370 花费1200 炼金收益60 6丹 易筋丹
主药七彩月兰-1&530 药引枫香脂-1&300 辅药天剑笋-1&370 花费1200 炼金收益60 6丹 易筋丹
主药七彩月兰-1&530 药引渊血冥花-1&300 辅药天剑笋-1&370 花费1200 炼金收益60 6丹 易筋丹
主药三叶青芝-1&550 药引天问花-1&280 辅药天剑笋-1&370 花费1200 炼金收益60 6丹 易筋丹
